,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
0,02/07/2022,0,1375516.0,3342127.0,21127405.008561827,10510167.185915416,8858896.0,0.0,0.0,0.0,0.0,0.0
1,02/08/2022,0,1388236.450980392,3350600.294117647,21160941.355300453,10526850.380604254,8885628.705882354,26732.705882353708,16683.194688837975,33536.34673862532,8473.294117647223,12720.450980392052
2,02/09/2022,0,1400956.9019607843,3359073.588235294,21194477.702039078,10543533.575293092,8912361.411764706,26732.705882351846,16683.194688837975,33536.34673862532,8473.294117646758,12720.450980392285
3,02/10/2022,0,1413677.3529411764,3367546.882352941,21228014.0487777,10560216.76998193,8939094.11764706,26732.705882353708,16683.194688837975,33536.34673862159,8473.294117647223,12720.450980392052
4,02/11/2022,0,1426397.8039215687,3376020.1764705884,21261550.395516325,10576899.964670768,8965826.823529411,26732.705882351846,16683.194688837975,33536.34673862532,8473.294117647223,12720.450980392285
5,02/12/2022,0,1439118.2549019607,3384493.470588235,21295086.74225495,10593583.159359606,8992559.529411765,26732.705882353708,16683.194688837975,33536.34673862532,8473.294117646758,12720.450980392052
6,02/13/2022,0,1451838.705882353,3392966.7647058824,21328623.088993575,10610266.354048446,9019292.235294119,26732.705882353708,16683.194688839838,33536.34673862532,8473.294117647223,12720.450980392285
7,02/14/2022,0,1464559.156862745,3401440.0588235296,21362159.435732197,10626949.548737284,9046024.94117647,26732.705882351846,16683.194688837975,33536.34673862159,8473.294117647223,12720.450980392052
8,02/15/2022,0,1477279.6078431373,3409913.3529411764,21395695.782470822,10643632.743426122,9072757.647058824,26732.705882353708,16683.194688837975,33536.34673862532,8473.294117646758,12720.450980392285
9,02/16/2022,0,1490000.0588235294,3418386.6470588236,21429232.129209448,10660315.93811496,9099490.352941176,26732.705882351846,16683.194688837975,33536.34673862532,8473.294117647223,12720.450980392052
10,02/17/2022,0,1502720.5098039214,3426859.9411764704,21462768.475948073,10676999.132803798,9126223.05882353,26732.705882353708,16683.194688837975,33536.34673862532,8473.294117646758,12720.450980392052
11,02/18/2022,0,1515440.9607843137,3435333.2352941176,21496304.822686695,10693682.327492636,9152955.764705881,26732.705882351846,16683.194688837975,33536.34673862159,8473.294117647223,12720.450980392285
12,02/19/2022,0,1528161.4117647058,3443806.529411765,21529841.16942532,10710365.522181474,9179688.470588235,26732.705882353708,16683.194688837975,33536.34673862532,8473.294117647223,12720.450980392052
13,02/20/2022,0,1540881.862745098,3452279.8235294116,21563377.516163945,10727048.716870312,9206421.176470589,26732.705882353708,16683.194688837975,33536.34673862532,8473.294117646758,12720.450980392285
14,02/21/2022,0,1553602.3137254901,3460753.117647059,21596913.86290257,10743731.91155915,9233153.88235294,26732.705882351846,16683.194688837975,33536.34673862532,8473.294117647223,12720.450980392052
15,02/22/2022,0,1566322.7647058824,3469226.411764706,21630450.209641192,10760415.106247988,9259886.588235294,26732.705882353708,16683.194688837975,33536.34673862159,8473.294117647223,12720.450980392285
16,02/23/2022,0,1579043.2156862745,3477699.705882353,21663986.556379817,10777098.300936827,9286619.294117646,26732.705882351846,16683.194688839838,33536.34673862532,8473.294117646758,12720.450980392052
17,02/24/2022,0,1591763.6666666667,3486173.0,21697522.903118443,10793781.495625665,9313352.0,26732.705882353708,16683.194688837975,33536.34673862532,8473.294117647223,12720.450980392285
18,02/25/2022,0,1604484.1176470588,3494646.294117647,21731059.249857068,10810464.690314503,9340084.705882354,26732.705882353708,16683.194688837975,33536.34673862532,8473.294117647223,12720.450980392052
19,02/26/2022,0,1617204.568627451,3503119.588235294,21764595.596595693,10827147.885003341,9366817.411764706,26732.705882351846,16683.194688837975,33536.34673862532,8473.294117646758,12720.450980392285
20,02/27/2022,0,1629925.0196078431,3511592.882352941,21798131.943334315,10843831.07969218,9393550.11764706,26732.705882353708,16683.194688837975,33536.34673862159,8473.294117647223,12720.450980392052
21,02/28/2022,0,1642645.4705882352,3520066.1764705884,21831668.29007294,10860514.274381017,9420282.823529411,26732.705882351846,16683.194688837975,33536.34673862532,8473.294117647223,12720.450980392052
22,03/01/2022,0,1655365.9215686275,3528539.470588235,21865204.636811566,10877197.469069855,9447015.529411765,26732.705882353708,16683.194688837975,33536.34673862532,8473.294117646758,12720.450980392285
23,03/02/2022,0,1668086.3725490195,3537012.7647058824,21898740.98355019,10893880.663758693,9473748.235294119,26732.705882353708,16683.194688837975,33536.34673862532,8473.294117647223,12720.450980392052
24,03/03/2022,0,1680806.8235294118,3545486.0588235296,21932277.330288813,10910563.858447531,9500480.94117647,26732.705882351846,16683.194688837975,33536.34673862159,8473.294117647223,12720.450980392285
25,03/04/2022,0,1693527.2745098039,3553959.3529411764,21965813.677027438,10927247.05313637,9527213.647058824,26732.705882353708,16683.194688837975,33536.34673862532,8473.294117646758,12720.450980392052
26,03/05/2022,0,1706247.7254901961,3562432.6470588236,21999350.023766063,10943930.247825209,9553946.352941176,26732.705882351846,16683.194688839838,33536.34673862532,8473.294117647223,12720.450980392285
27,03/06/2022,0,1718968.1764705882,3570905.9411764704,22032886.37050469,10960613.442514047,9580679.05882353,26732.705882353708,16683.194688837975,33536.34673862532,8473.294117646758,12720.450980392052
28,03/07/2022,0,1731688.6274509805,3579379.2352941176,22066422.71724331,10977296.637202885,9607411.764705881,26732.705882351846,16683.194688837975,33536.34673862159,8473.294117647223,12720.450980392285
29,03/08/2022,0,1744409.0784313725,3587852.529411765,22099959.063981935,10993979.831891723,9634144.470588235,26732.705882353708,16683.194688837975,33536.34673862532,8473.294117647223,12720.450980392052
30,03/09/2022,0,1757129.5294117648,3596325.8235294116,22133495.41072056,11010663.026580561,9660877.176470589,26732.705882353708,16683.194688837975,33536.34673862532,8473.294117646758,12720.450980392285
31,03/10/2022,0,1769849.9803921569,3604799.117647059,22167031.757459186,11027346.221269399,9687609.88235294,26732.705882351846,16683.194688837975,33536.34673862532,8473.294117647223,12720.450980392052
32,03/11/2022,0,1782570.431372549,3613272.411764706,22200568.104197808,11044029.415958237,9714342.588235294,26732.705882353708,16683.194688837975,33536.34673862159,8473.294117647223,12720.450980392052
33,03/12/2022,0,1795290.8823529412,3621745.705882353,22234104.450936433,11060712.610647075,9741075.294117646,26732.705882351846,16683.194688837975,33536.34673862532,8473.294117646758,12720.450980392285
34,03/13/2022,0,1808011.3333333333,3630219.0,22267640.79767506,11077395.805335913,9767808.0,26732.705882353708,16683.194688837975,33536.34673862532,8473.294117647223,12720.450980392052
35,03/14/2022,0,1820731.7843137255,3638692.294117647,22301177.144413684,11094079.00002475,9794540.705882354,26732.705882353708,16683.194688837975,33536.34673862532,8473.294117647223,12720.450980392285
36,03/15/2022,0,1833452.2352941176,3647165.588235294,22334713.49115231,11110762.194713589,9821273.411764706,26732.705882351846,16683.194688837975,33536.34673862532,8473.294117646758,12720.450980392052
37,03/16/2022,0,1846172.6862745099,3655638.882352941,22368249.83789093,11127445.389402429,9848006.11764706,26732.705882353708,16683.194688839838,33536.34673862159,8473.294117647223,12720.450980392285
38,03/17/2022,0,1858893.137254902,3664112.1764705884,22401786.184629556,11144128.584091267,9874738.823529411,26732.705882351846,16683.194688837975,33536.34673862532,8473.294117647223,12720.450980392052
39,03/18/2022,0,1871613.588235294,3672585.470588235,22435322.53136818,11160811.778780105,9901471.529411765,26732.705882353708,16683.194688837975,33536.34673862532,8473.294117646758,12720.450980392052
