,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
0,02/07/2022,0,15702692.0,33867902.0,253397559.3535979,126056688.56302811,135872623.0,0.0,0.0,0.0,0.0,0.0
1,02/08/2022,0,15795434.705882354,33934787.35294118,253767168.02097476,126240556.33504838,136250075.25490198,377452.2549019754,183867.77202026546,369608.6673768461,66885.35294117779,92742.70588235371
2,02/09/2022,0,15888177.411764706,34001672.705882356,254136776.6883516,126424424.10706864,136627527.50980392,377452.2549019456,183867.77202026546,369608.6673768461,66885.35294117779,92742.70588235185
3,02/10/2022,0,15980920.11764706,34068558.058823526,254506385.35572845,126608291.8790889,137004979.7647059,377452.2549019754,183867.77202025056,369608.6673768461,66885.35294117033,92742.70588235371
4,02/11/2022,0,16073662.823529411,34135443.4117647,254875994.02310526,126792159.65110916,137382432.01960784,377452.2549019456,183867.77202026546,369608.6673768163,66885.35294117779,92742.70588235185
5,02/12/2022,0,16166405.529411765,34202328.76470588,255245602.6904821,126976027.42312942,137759884.27450982,377452.2549019754,183867.77202026546,369608.6673768461,66885.35294117779,92742.70588235371
6,02/13/2022,0,16259148.235294119,34269214.11764706,255615211.35785896,127159895.19514969,138137336.52941176,377452.2549019456,183867.77202026546,369608.6673768461,66885.35294117779,92742.70588235371
7,02/14/2022,0,16351890.94117647,34336099.47058824,255984820.0252358,127343762.96716996,138514788.78431374,377452.2549019754,183867.77202026546,369608.6673768461,66885.35294117779,92742.70588235185
8,02/15/2022,0,16444633.647058824,34402984.823529415,256354428.69261265,127527630.7391902,138892241.03921568,377452.2549019456,183867.77202025056,369608.6673768461,66885.35294117779,92742.70588235371
9,02/16/2022,0,16537376.352941176,34469870.176470585,256724037.3599895,127711498.51121047,139269693.29411766,377452.2549019754,183867.77202026546,369608.6673768461,66885.35294117033,92742.70588235185
10,02/17/2022,0,16630119.05882353,34536755.52941176,257093646.0273663,127895366.28323074,139647145.5490196,377452.2549019456,183867.77202026546,369608.6673768163,66885.35294117779,92742.70588235371
11,02/18/2022,0,16722861.764705881,34603640.88235294,257463254.69474316,128079234.055251,140024597.80392158,377452.2549019754,183867.77202026546,369608.6673768461,66885.35294117779,92742.70588235185
12,02/19/2022,0,16815604.470588237,34670526.23529412,257832863.36212,128263101.82727127,140402050.05882353,377452.2549019456,183867.77202026546,369608.6673768461,66885.35294117779,92742.70588235557
